"","data_code","death_rate","age","race"
"1","SE_T040_002",NA,"18 to 44 Years","White"
"2","SE_T040_002",NA,"18 to 44 Years","White"
"3","SE_T040_002",NA,"18 to 44 Years","White"
"4","SE_T040_002",NA,"18 to 44 Years","White"
"5","SE_T040_002",NA,"18 to 44 Years","White"
"6","SE_T040_002",NA,"18 to 44 Years","White"
"7","SE_T040_002",NA,"18 to 44 Years","White"
"8","SE_T040_002",NA,"18 to 44 Years","White"
"9","SE_T040_002",NA,"18 to 44 Years","White"
"10","SE_T040_002",NA,"18 to 44 Years","White"
"11","SE_T040_002",NA,"18 to 44 Years","White"
"12","SE_T040_002",NA,"18 to 44 Years","White"
"13","SE_T040_002",NA,"18 to 44 Years","White"
"14","SE_T040_002",NA,"18 to 44 Years","White"
"15","SE_T040_002",NA,"18 to 44 Years","White"
"16","SE_T040_002",NA,"18 to 44 Years","White"
"17","SE_T040_002",NA,"18 to 44 Years","White"
"18","SE_T040_002",NA,"18 to 44 Years","White"
"19","SE_T040_002",NA,"18 to 44 Years","White"
"20","SE_T040_002",NA,"18 to 44 Years","White"
"21","SE_T040_002",NA,"18 to 44 Years","White"
"22","SE_T040_002",NA,"18 to 44 Years","White"
"23","SE_T040_002",NA,"18 to 44 Years","White"
"24","SE_T040_002",NA,"18 to 44 Years","White"
"25","SE_T040_002",NA,"18 to 44 Years","White"
"26","SE_T040_002",NA,"18 to 44 Years","White"
"27","SE_T040_002",NA,"18 to 44 Years","White"
"28","SE_T040_002",NA,"18 to 44 Years","White"
"29","SE_T040_002",NA,"18 to 44 Years","White"
"30","SE_T040_002",NA,"18 to 44 Years","White"
"31","SE_T040_002",NA,"18 to 44 Years","White"
"32","SE_T040_002",NA,"18 to 44 Years","White"
"33","SE_T040_002",NA,"18 to 44 Years","White"
"34","SE_T040_002",NA,"18 to 44 Years","White"
"35","SE_T040_002",NA,"18 to 44 Years","White"
"36","SE_T040_002",NA,"18 to 44 Years","White"
"37","SE_T040_002",NA,"18 to 44 Years","White"
"38","SE_T040_002",NA,"18 to 44 Years","White"
"39","SE_T040_002",NA,"18 to 44 Years","White"
"40","SE_T040_002",NA,"18 to 44 Years","White"
"41","SE_T040_002",NA,"18 to 44 Years","White"
"42","SE_T040_002",NA,"18 to 44 Years","White"
"43","SE_T040_002",NA,"18 to 44 Years","White"
"44","SE_T040_002",NA,"18 to 44 Years","White"
"45","SE_T040_002",NA,"18 to 44 Years","White"
